ProductID,Review,battery life,camera quality,screen,performance,price,Rating
P001,The battery life is good. The camera quality is quite nice. The performance is good. I'm satisfied with this purchase.,1,1,0,1,0,4
P001,"Overall, this product is excellent.",0,0,0,0,0,5
P001,The battery life is disappointing. The screen is disappointing. The performance is bad. I had higher expectations.,1,0,1,1,0,2
P001,The screen is satisfactory. The performance is quite nice. The price is satisfactory. I'm satisfied with this purchase.,0,0,1,1,1,4
P001,The screen is terrible. The price is the worst. I had higher expectations.,0,0,1,0,1,1
P001,The camera quality is outstanding. The screen is perfect. The performance is outstanding. I'm satisfied with this purchase.,0,1,1,1,0,5
P001,The performance is quite nice. The price is good. I'm satisfied with this purchase.,0,0,0,1,1,4
P001,The battery life is dreadful. The camera quality is the worst. The screen is dreadful. The performance is the worst. The price is the worst. I had higher expectations.,1,1,1,1,1,1
P001,The battery life is excellent. The screen is perfect. The price is excellent. I'm satisfied with this purchase.,1,0,1,0,1,5
P001,The battery life is average. The screen is okay. The price is mediocre. I had higher expectations.,1,0,1,0,1,3
P001,The battery life is excellent. The camera quality is outstanding. The performance is perfect. The price is outstanding. I'm satisfied with this purchase.,1,1,0,1,1,5
P001,The camera quality is average. The screen is average. The performance is average. I had higher expectations.,0,1,1,1,0,3
P001,The battery life is dreadful. The screen is dreadful. The performance is terrible. I had higher expectations.,1,0,1,1,0,1
P001,The screen is outstanding. I'm satisfied with this purchase.,0,0,1,0,0,5
P001,The camera quality is perfect. I'm satisfied with this purchase.,0,1,0,0,0,5
P001,The battery life is perfect. The camera quality is excellent. The screen is excellent. The performance is perfect. I'm satisfied with this purchase.,1,1,1,1,0,5
P001,The battery life is mediocre. The performance is okay. The price is average. I had higher expectations.,1,0,0,1,1,3
P001,The battery life is satisfactory. The screen is satisfactory. The price is good. I'm satisfied with this purchase.,1,0,1,0,1,4
P001,The battery life is bad. The performance is bad. I had higher expectations.,1,0,0,1,0,2
P001,The camera quality is okay. The price is mediocre. I had higher expectations.,0,1,0,0,1,3
P001,The screen is average. I had higher expectations.,0,0,1,0,0,3
P001,The camera quality is average. The screen is average. The price is mediocre. I had higher expectations.,0,1,1,0,1,3
P001,The battery life is mediocre. The performance is average. The price is average. I had higher expectations.,1,0,0,1,1,3
P001,The battery life is excellent. The screen is excellent. The price is perfect. I'm satisfied with this purchase.,1,0,1,0,1,5
P001,The performance is terrible. The price is terrible. I had higher expectations.,0,0,0,1,1,1
P001,The battery life is disappointing. The camera quality is disappointing. The price is disappointing. I had higher expectations.,1,1,0,0,1,2
P001,The battery life is okay. The screen is average. The price is okay. I had higher expectations.,1,0,1,0,1,3
